season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Winter Is Coming,Tim Van Patten,David Benioff & D. B. Weiss,2011-04-17,2220000.0
1,2,2,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss,2011-04-24,2200000.0
1,3,3,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss,2011-05-01,2440000.0
1,4,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,2011-05-08,2450000.0
1,5,5,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss,2011-05-15,2580000.0
1,6,6,A Golden Crown,Daniel Minahan,Story by: David Benioff & D. B. WeissTeleplay by: Jane Espenson and David Benioff & D. B. Weiss,2011-05-22,2440000.0
1,7,7,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss,2011-05-29,2400000.0
1,8,8,The Pointy End,Daniel Minahan,George R. R. Martin,2011-06-05,2720000.0
1,9,9,Baelor,Alan Taylor,David Benioff & D. B. Weiss,2011-06-12,2660000.0
1,10,10,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss,2011-06-19,3040000.0
2,1,11,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,2012-04-01,3860000.0
2,2,12,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,2012-04-08,3760000.0
2,3,13,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,2012-04-15,3770000.0
2,4,14,Garden of Bones,David Petrarca,Vanessa Taylor,2012-04-22,3650000.0
2,5,15,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,2012-04-29,3900000.0
2,6,16,The Old Gods and the New,David Nutter,Vanessa Taylor,2012-05-06,3880000.0
2,7,17,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,2012-05-13,3690000.0
2,8,18,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,2012-05-20,3860000.0
2,9,19,Blackwater,Neil Marshall,George R. R. Martin,2012-05-27,3380000.0
2,10,20,Valar Morghulis,Alan Taylor,David Benioff & D. B. Weiss,2012-06-03,4200000.0
3,1,21,Valar Dohaeris,Daniel Minahan,David Benioff & D. B. Weiss,2013-03-31,4370000.0
3,2,22,"Dark Wings, Dark Words",Daniel Minahan,Vanessa Taylor,2013-04-07,4270000.0
3,3,23,Walk of Punishment,David Benioff,David Benioff & D. B. Weiss,2013-04-14,4720000.0
3,4,24,And Now His Watch Is Ended,Alex Graves,David Benioff & D. B. Weiss,2013-04-21,4870000.0
