Cust_id,AVG_Actual_price_12,Purchase_Value,No_of_Items,Total_Discount,MONTH_SINCE_LAST_TRANSACTION
1,300,1200,4,0,11
2,2563.2825,41012.52,16,78737.48,2
4,3510,7020,2,780,4
8,4530,13590,3,1510,1
9,2428.076923,33455,15,17445,6
10,743.75,8925,12,24075,7
11,1649.357143,14772,19,20748,1
12,2257.916667,37265,17,15330,3
13,472.5,1890,4,6510,1
14,2800,8400,3,1500,9
16,3500,3500,1,0,8
17,4322,21610,5,1990,4
19,787.5,9450,12,32550,3
20,743.8821053,28852.52,40,163097.48,3
24,6750,6750,1,750,4
25,1261.818182,13880,11,70320,4
26,1276.385086,206681.9,172,291783.1,1
28,2564,12890,8,14985,2
31,2100,2100,1,0,3
32,3033.333333,33400,10,0,1
33,640,7912,12,13288,8
35,2068.355263,45238.75,24,46661.25,7
36,1018.75,16300,16,8100,7
38,818.1818182,42000,62,42000,1
39,3400,21200,7,0,7
40,2632.483333,7897.45,3,1240.55,2
41,5080,25400,5,0,10
42,3710.555556,80925,38,31125,3
43,3000,15300,6,0,3
44,3145,3145,1,555,5
45,900,900,1,0,9
46,4150,4150,1,4150,11
48,1669.538462,185976,104,524174,1
49,6903.933333,20711.8,3,-1411.8,5
50,5726.98,5726.98,1,-626.98,4
51,2100,2100,1,0,1
54,1426,7130,5,8120,1
55,2100,4200,2,0,2
56,750,750,1,450,12
57,1815.625,16415,10,32585,9
58,3000,6000,2,6000,8
59,1541.064516,71061,42,81977,1
61,2000,6000,3,2100,8
62,2100,4200,2,0,5
63,1949.5,7798,4,326,11
64,975,2925,3,325,1
65,4590,13770,3,1530,1
66,5100,35700,7,0,10
67,1866.666667,5600,3,3500,2
68,1110,26640,24,62160,7
69,2802.742857,170450.4,47,137229.6,2
70,1265,25300,20,101200,3
71,682.75,7053,15,18997,12
72,1284.285714,24910,26,49690,1
73,1901.5625,60850,32,89950,1
74,4536.5625,36292.5,8,6107.5,1
75,1431.5625,22905,16,42095,1
77,5200,12500,3,0,5
79,1044,5220,5,11680,3
80,1822.5,12690,6,15510,7
81,4297.5,20970,6,2330,2
82,4950,9900,2,1100,3
85,5100,5100,1,0,1
87,5550,11100,2,0,5
89,4590,4590,1,510,8
90,2100,4200,2,0,6
92,3330,3330,1,370,12
93,2163.279221,286244.5,154,163280.5,1
94,3655,7310,2,1290,11
97,1476.666667,4430,3,420,1
99,1161.666667,5240,6,510,2
100,3420,10620,4,1180,3
101,3823.75,19785,7,0,4
102,1298.546667,3895.64,3,-395.64,3
103,270,1080,4,120,11
106,3717,18585,5,22065,10
107,1841.666667,11050,6,11050,4
108,8029.005,22795.64,3,-2495.64,4
110,1312.506667,12950.04,8,14649.96,8
111,4159.285714,31815,8,16685,8
114,125,500,4,1500,2
115,1200,4800,4,0,7
116,6435,12870,2,1430,8
117,657.4656364,36160.61,55,236339.39,4
119,1798.272727,15106,8,48739,9
120,2600,10400,4,10400,3
121,650,650,1,0,12
122,3960,19800,5,2200,7
123,3540,19350,5,2150,1
124,1931.875,30910,16,39590,1
125,967,43230,43,100220,2
128,3722.727273,119430,33,13270,1
129,1305,10440,8,12760,2
130,1110,6660,6,8140,7
133,8300,8300,1,0,10
136,2808.333333,33700,12,33700,3
138,1050,2100,2,2100,6
139,8300,8300,1,0,2
141,1785,8925,5,1575,4
142,2690,41100,16,0,10
145,447.5,895,2,895,5
146,760.7345455,33518.76,63,96926.24,2
151,3800,7600,2,1900,8
153,1725.041667,10350.25,6,11439.75,5
154,1995,23940,12,1260,3
155,4907.5,21730,5,1770,4
156,1841.666667,11050,6,11050,2
159,3325,6650,2,0,11
160,1099.583333,25195,22,97195,1
161,4335,26010,6,2890,1
162,1237.5,7425,6,825,12
163,1012.916667,12155,12,47645,1
165,1014.5,30711,30,65684,1
167,4000,16000,4,24000,2
168,3112.5,12450,4,20750,4
169,1631.057692,78961.25,58,66474.75,1
172,3450,6900,2,0,8
174,780,9375,15,53125,8
175,502.5,6030,12,34170,10
176,5500,5500,1,0,12
178,2798.835535,191192.12,66,2493.88,1
179,1317.5,13175,10,3525,1
180,1687.5,6750,4,4900,11
181,2925,5850,2,650,4
182,6440,40500,6,0,3
183,1550,6200,4,0,3
184,1499.8125,5999.25,4,6872.75,6
185,1757.5,7030,4,7770,5
186,3145,3145,1,555,7
187,2180,8720,4,9670,7
190,1500,3000,2,0,7
191,2385.672727,26242.4,11,46926.6,5
192,500,500,1,0,3
194,1787.5,25332.5,20,41017.5,6
195,1660,9960,6,26040,5
196,150,300,2,300,1
197,2100,2100,1,0,8
198,4708.725,9417.45,2,77.55,2
199,2100,8400,4,0,2
200,3060,14520,6,780,5
201,5995.556667,16153.32,4,146.68,1
202,1200,1200,1,900,11
203,2081.1,2081.1,1,18.9,1
204,6680.364,66803.64,10,16196.36,6
205,5200,22900,5,0,10
206,4125,26640,7,2960,4
207,2100,2100,1,0,6
208,3200,7800,3,0,5
210,420,4200,10,16800,9
211,2997.465,11989.86,4,10010.14,7
212,3233.333333,9700,3,0,3
213,2100,2100,1,0,7
214,3400,3400,1,0,1
215,912.5,18800,26,70400,1
216,2200,2200,1,0,12
217,1400,2800,2,0,6
218,1050,2100,2,2100,6
219,740,3700,5,14800,6
221,2100,2100,1,0,11
222,6750,10400,2,0,5
224,595,1785,3,4515,2
225,1260,6930,6,8470,1
226,945,1890,2,2310,7
227,1679.705294,46009.99,33,50590.01,1
228,8300,8300,1,0,10
229,2100,2100,1,0,12
230,2580,7740,3,860,1
231,2219.285714,48385,21,47865,5
232,4800,14400,3,3600,2
234,2682.876667,28597.26,10,12502.74,2
235,900,900,1,0,10
237,1255.909091,27630,22,39070,1
239,5400,5400,1,600,2
240,4150,8300,2,8300,1
244,2790,40365,15,26035,1
245,2375,9500,4,900,3
248,1052.692308,32970,30,35630,1
249,3329.333333,57200,20,7800,6
250,1706.717273,18773.89,11,15276.11,1
251,945,1890,2,2310,7
252,4150,8300,2,8300,11
254,4162.5,18540,5,2060,5
257,4845,9690,2,1710,1
258,3120,3120,1,780,7
259,3491.071429,53975,15,13725,2
261,5010,15030,3,1670,4
262,5625,22500,4,15904,11
263,1588.571429,22240,14,22460,1
264,5389,26945,5,4755,4
265,4493.415,8986.83,2,7613.17,8
266,5400,5400,1,600,1
268,895,895,1,0,8
269,2100,2100,1,0,9
270,5400,5400,1,600,12
271,4164.912857,29154.39,7,3595.61,1
272,2100,2100,1,0,5
274,2280,9120,4,9880,2
275,1238.333333,3715,3,121,12
276,332.2727273,7310,22,35740,4
278,1965,89820,52,37180,3
279,222.2222222,7500,31,8000,1
280,2200,2200,1,0,1
281,2513.75,24595,14,36005,2
282,875,3500,4,10500,7
283,420,2100,5,8400,7
285,2435.902709,62994.15,63,4205.85,4
286,4162.5,16650,4,1850,4
287,1050,2100,2,2100,7
288,1650,3300,2,0,10
