,movie_name,genre,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Gentlemen,"Action, Comedy, Crime            ",2019,113,8.0,51.0,103248,69.04371293001178
1,Once Upon a Time... in Hollywood,"Comedy, Drama            ",2019,161,7.7,83.0,439202,142.5
2,Parasite,"Comedy, Drama, Thriller            ",2019,132,8.6,96.0,367763,53.37
3,Knives Out,"Comedy, Crime, Drama            ",2019,131,8.0,82.0,272176,165.36
4,1917,"Drama, War            ",2019,119,8.4,78.0,278731,159.23
5,The Ten Commandments,"Adventure, Drama            ",1956,220,7.8,77.51137724550898,60668,93.74
6,Little Women,"Drama, Romance            ",2019,135,7.9,91.0,92139,108.1
7,Avengers: Endgame,"Action, Adventure, Drama            ",2019,181,8.4,78.0,697863,858.37
8,Joker,"Crime, Drama, Thriller            ",2019,122,8.5,59.0,754563,335.45
9,The Shawshank Redemption,Drama            ,1994,142,9.3,80.0,2220730,28.34
10,Jojo Rabbit,"Comedy, Drama, War            ",2019,108,7.9,58.0,193100,0.35
11,Ford v Ferrari,"Action, Biography, Drama            ",2019,152,8.1,81.0,197710,117.62
12,The Godfather,"Crime, Drama            ",1972,175,9.2,100.0,1530221,134.97
13,Inception,"Action, Adventure, Sci-Fi            ",2010,148,8.8,74.0,1947364,292.58
14,The Irishman,"Biography, Crime, Drama            ",2019,209,7.9,94.0,276010,69.04371293001178
15,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy            ",2001,152,7.6,64.0,604887,317.58
16,The Perks of Being a Wallflower,"Drama, Romance            ",2012,103,8.0,67.0,440495,17.74
17,Interstellar,"Adventure, Drama, Sci-Fi            ",2014,169,8.6,74.0,1398665,188.02
18,The Dark Knight,"Action, Crime, Drama            ",2008,152,9.0,84.0,2196122,534.86
19,Mad Max: Fury Road,"Action, Adventure, Sci-Fi            ",2015,120,8.1,90.0,831569,154.06
20,Call Me by Your Name,"Drama, Romance            ",2017,132,7.9,93.0,185451,18.1
21,Road to Perdition,"Crime, Drama, Thriller            ",2002,117,7.7,72.0,237496,104.45
22,Pulp Fiction,"Crime, Drama            ",1994,154,8.9,94.0,1742458,107.93
23,The Lighthouse,"Drama, Fantasy, Horror            ",2019,109,7.6,83.0,92992,0.43
24,Raiders of the Lost Ark,"Action, Adventure            ",1981,115,8.4,85.0,848656,248.16
25,The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama            ",2001,178,8.8,92.0,1586748,315.54
26,Portrait of a Lady on Fire,"Drama, Romance            ",2019,122,8.2,95.0,30679,69.04371293001178
27,Toy Story 4,"Animation, Adventure, Comedy            ",2019,100,7.8,84.0,173358,434.04
28,Goodfellas,"Biography, Crime, Drama            ",1990,146,8.7,90.0,966567,46.84
29,Blade Runner 2049,"Action, Drama, Mystery            ",2017,164,8.0,81.0,423894,92.05
30,Green Book,"Biography, Comedy, Drama            ",2018,130,8.2,69.0,311218,85.08
31,Avengers: Infinity War,"Action, Adventure, Sci-Fi            ",2018,149,8.5,68.0,763162,678.82
32,The Social Network,"Biography, Drama            ",2010,120,7.7,95.0,594667,96.96
