date,browser,user_type,users
2020-06-14,Google Chrome,People,139
2020-06-14,Chrome Mobile,People,35
2020-06-14,Google Chrome,Robots,28
2020-06-14,Yandex Browser,People,22
2020-06-14,Firefox,People,15
2020-06-14,Safari,People,13
2020-06-14,Firefox,Robots,8
2020-06-14,Android Browser,People,8
2020-06-14,Opera,People,5
2020-06-14,Mobile Safari,People,5
2020-06-14,Samsung Internet,People,5
2020-06-14,Safari,Robots,2
2020-06-14,UCWEB,Robots,2
2020-06-14,Edge,Robots,2
2020-06-14,Opera,Robots,1
2020-06-14,UCWEB,People,1
2020-06-14,Firefox Mobile,People,1
2020-06-14,Yandex Browser,Robots,1
2020-06-14,Android Browser,Robots,1
2020-06-14,Chrome Mobile,Robots,1
2020-06-14,Chromium,People,1
2020-06-14,Chromium,Robots,1
2020-06-14,Edge,People,1
2020-06-14,CocCoc,People,1
