client_id,company_id,delay,revenue
2389,4240,-1 days -14:57:48.000000000,705436
7614,9544,-4 days -02:14:23.000000000,859266
2052,2427,-0 days -06:08:57.000000000,812416
9635,8054,-0 days -23:40:19.000000000,162312
8154,5503,-1 days -13:21:53.000000000,658844
3346,3121,-0 days -04:21:57.000000000,895712
3066,2445,-3 days -11:49:15.000000000,164010
9207,5940,-4 days -03:33:13.000000000,253494
8173,8983,-1 days -05:37:26.000000000,623845
6453,2775,-0 days -07:52:48.000000000,21781
5364,8167,-0 days -00:34:21.000000000,419485
8264,8351,-2 days -06:42:23.000000000,992845
6214,8594,-1 days -15:15:03.000000000,743701
2206,7988,-4 days -17:55:05.000000000,569490
2880,4572,-3 days -14:28:58.000000000,965659
5252,4409,-0 days -19:34:26.000000000,650052
8496,7247,-1 days -10:34:41.000000000,43360
6935,2086,-4 days -07:09:15.000000000,388860
3309,7731,-4 days -01:10:49.000000000,67717
7348,5392,-1 days -14:18:34.000000000,204138
3205,7833,-4 days -05:27:57.000000000,393592
2817,7417,-4 days -16:57:40.000000000,863052
4758,2629,-2 days -13:05:41.000000000,860583
9945,1887,-4 days -07:40:35.000000000,277799
6526,6732,-3 days -21:08:44.000000000,958363
4914,4294,-2 days -19:41:31.000000000,415031
9269,4557,-2 days -23:01:40.000000000,319738
7887,8658,-2 days -11:30:30.000000000,423013
7996,2038,-3 days -16:38:18.000000000,532882
9390,8746,-4 days -18:30:10.000000000,508449
2105,2483,-3 days -14:35:17.000000000,704479
7791,2645,-2 days -00:19:22.000000000,134544
2479,3735,-1 days -18:59:32.000000000,742060
3273,1645,-2 days -21:01:38.000000000,681076
9211,7733,-1 days -02:44:58.000000000,358271
1926,8496,-2 days -11:28:04.000000000,514622
9739,7687,-1 days -18:43:10.000000000,274401
6912,5092,-1 days -06:17:42.000000000,212913
7198,6681,-4 days -08:57:36.000000000,670757
8587,5568,-0 days -13:20:35.000000000,198512
3359,6686,-0 days -08:24:35.000000000,124559
8661,3349,-0 days -14:38:20.000000000,721775
5508,5619,-1 days -05:55:17.000000000,743834
3135,2653,-0 days -05:33:50.000000000,411107
8522,9394,-4 days -20:14:34.000000000,381860
8812,6326,-1 days -02:59:15.000000000,321228
8553,9197,-0 days -12:02:58.000000000,814563
3976,3408,-2 days -12:40:31.000000000,584956
4003,4064,-2 days -22:05:21.000000000,210130
6053,6525,-4 days -16:29:23.000000000,320388
7807,3209,-3 days -00:20:05.000000000,178572
7454,5059,-2 days -00:22:14.000000000,359580
4940,1903,-0 days -19:44:31.000000000,991567
1295,1648,-4 days -06:52:06.000000000,981438
8728,1153,-3 days -01:00:26.000000000,449098
7798,7173,-3 days -08:28:15.000000000,271238
9562,7145,-1 days -11:21:28.000000000,411187
7075,8047,-1 days -21:20:07.000000000,681871
4406,6915,-4 days -19:33:30.000000000,501938
5979,8940,-2 days -12:37:04.000000000,283899
4957,5278,-0 days -23:29:07.000000000,852813
5697,4301,-2 days -04:14:18.000000000,137099
2967,2939,-1 days -16:00:29.000000000,665336
3734,9345,-1 days -15:46:09.000000000,748895
3008,4367,-3 days -22:43:33.000000000,479365
7943,7977,-2 days -05:53:34.000000000,703085
6493,6481,-0 days -10:54:07.000000000,556340
3310,7928,-1 days -23:23:45.000000000,999630
3717,6814,-3 days -02:23:58.000000000,486331
6175,2733,-2 days -17:40:23.000000000,167968
5949,5804,-3 days -17:42:33.000000000,24682
3724,8900,-0 days -09:58:37.000000000,904837
7025,5678,-1 days -21:55:00.000000000,378217
7486,8809,-3 days -17:04:45.000000000,167755
8383,5484,-1 days -08:17:31.000000000,266936
4306,4760,-3 days -11:12:06.000000000,82633
9564,7991,-4 days -16:50:16.000000000,671249
1333,9896,-2 days -08:07:35.000000000,42650
9397,1479,-3 days -20:19:43.000000000,938148
4730,4146,-1 days -22:16:19.000000000,117077
6373,9396,-4 days -05:12:08.000000000,267789
5499,9731,-4 days -23:51:14.000000000,34980
7340,9722,-2 days -06:48:15.000000000,405332
9462,1801,-4 days -08:37:20.000000000,492813
7221,5428,-0 days -01:42:10.000000000,643748
8734,5310,-4 days -11:05:43.000000000,422809
8672,1592,-0 days -06:17:41.000000000,617556
2952,1448,-2 days -19:51:10.000000000,54986
1756,4096,-2 days -16:33:12.000000000,601119
3251,7117,-4 days -13:09:48.000000000,502635
9457,2238,-0 days -06:44:16.000000000,525669
7884,3952,-0 days -20:11:25.000000000,319304
8248,5066,-3 days -23:38:58.000000000,46060
9777,7481,-3 days -16:08:48.000000000,79120
2907,3497,-4 days -02:37:05.000000000,684474
5397,9289,-3 days -03:10:17.000000000,398923
3648,7673,-0 days -11:47:46.000000000,513728
3056,2562,-3 days -00:19:30.000000000,260385
3654,8489,-1 days -19:14:43.000000000,235459
7627,6014,-0 days -12:49:21.000000000,630602
6825,8398,-4 days -16:03:42.000000000,851547
2264,2170,-1 days -14:39:19.000000000,71818
6638,3822,-4 days -02:16:45.000000000,445819
7062,5132,-4 days -23:34:25.000000000,448033
5279,5202,-4 days -17:12:11.000000000,467248
9050,7522,-3 days -13:25:35.000000000,271627
3030,7809,-1 days -01:50:38.000000000,761103
6786,6684,-3 days -12:51:35.000000000,404589
9609,9910,-3 days -12:29:01.000000000,652481
2720,8623,-0 days -06:18:37.000000000,928820
3369,2553,-2 days -22:55:22.000000000,640197
6322,3774,-4 days -02:17:44.000000000,509253
5325,2111,-1 days -13:40:37.000000000,446457
5083,7363,-4 days -11:24:51.000000000,689413
3058,7861,-0 days -14:41:09.000000000,725993
4579,6396,-4 days -18:24:28.000000000,841543
7893,9251,-0 days -22:23:24.000000000,338086
8933,2107,-0 days -20:51:16.000000000,842239
1116,1699,-1 days -19:03:39.000000000,881690
8812,3668,-4 days -10:06:12.000000000,556983
4363,9498,-1 days -23:33:06.000000000,698084
8696,2517,-1 days -14:17:42.000000000,268448
6227,6133,-3 days -07:11:53.000000000,492981
2286,3794,-0 days -19:25:03.000000000,604468
5592,7056,-2 days -01:15:17.000000000,679274
5640,5115,-4 days -15:53:29.000000000,715867
2827,3128,-1 days -10:36:06.000000000,338792
3325,8145,-0 days -22:27:46.000000000,284689
6967,3570,-2 days -06:56:14.000000000,439487
9135,8340,-4 days -06:30:22.000000000,862620
6141,1627,-2 days -17:36:52.000000000,921081
2984,2750,-4 days -00:27:39.000000000,256167
4133,8767,-1 days -21:56:38.000000000,311017
2958,4922,-0 days -05:59:00.000000000,436351
2488,9886,-2 days -17:04:15.000000000,55575
1404,3000,-4 days -10:12:41.000000000,12935
3980,8282,-4 days -10:03:29.000000000,96846
5348,6760,-0 days -08:58:09.000000000,988897
