client,success,platform,time
40177,True,phone,1585412212
61468,True,phone,1585425658
35604,False,phone,1585459894
9961,True,phone,1585400189
10931,True,computer,1585468629
41928,True,phone,1585446772
48925,True,phone,1585467880
32167,True,computer,1585457972
83888,True,phone,1585422273
71087,True,computer,1585458446
11983,True,phone,1585459511
502,True,computer,1585476186
3553,True,phone,1585477816
51575,True,computer,1585409788
98357,False,computer,1585465005
39975,True,computer,1585428343
17815,True,computer,1585448961
99308,True,computer,1585409409
36606,True,phone,1585457831
87937,True,computer,1585473482
29493,False,computer,1585471842
22398,False,phone,1585422562
35162,True,computer,1585457606
83906,True,computer,1585416908
71683,True,computer,1585452614
6840,True,computer,1585432794
27661,True,phone,1585400447
49625,False,phone,1585447789
92736,True,phone,1585435280
42638,True,computer,1585467436
85070,True,computer,1585435523
88961,True,tablet,1585435600
92503,True,tablet,1585432994
53978,True,computer,1585408637
84945,False,phone,1585470217
93566,True,phone,1585402766
65128,True,phone,1585479904
17861,True,computer,1585428869
78349,True,phone,1585475699
53396,False,computer,1585442110
87780,False,phone,1585455393
41785,True,phone,1585412186
51297,True,phone,1585405249
10469,True,computer,1585412827
97697,True,computer,1585418723
36938,True,computer,1585410255
90530,True,phone,1585431844
69455,True,phone,1585472731
56930,True,phone,1585410632
36238,True,phone,1585477765
61473,True,phone,1585462619
61950,True,computer,1585459224
95972,True,computer,1585460257
93718,True,computer,1585466349
61119,True,phone,1585444847
94418,True,phone,1585442173
89215,False,tablet,1585469864
31361,False,tablet,1585476415
49518,True,phone,1585402803
85502,True,computer,1585405950
81959,True,computer,1585427880
11741,True,computer,1585463454
58851,False,phone,1585469798
75292,False,phone,1585432731
40927,True,computer,1585474263
73175,True,phone,1585410795
99014,False,computer,1585475848
83175,False,phone,1585413842
70681,False,phone,1585428594
61468,True,computer,1585460504
11727,True,computer,1585464840
71444,True,phone,1585435851
31025,True,computer,1585456999
34035,False,computer,1585471411
38742,True,phone,1585427310
81617,True,computer,1585475836
4318,True,phone,1585442895
1676,True,computer,1585468445
11223,True,computer,1585462179
16864,True,phone,1585436107
25074,True,phone,1585417373
81083,False,phone,1585436778
22469,True,phone,1585413014
15130,False,phone,1585414381
58782,True,phone,1585475887
4563,True,phone,1585410412
1534,True,phone,1585469949
21518,True,phone,1585450975
70178,True,computer,1585464105
30802,True,phone,1585471078
45547,False,computer,1585450640
90883,True,phone,1585429858
43492,False,phone,1585444121
83577,True,computer,1585424049
12705,True,computer,1585429265
8393,True,phone,1585440644
89594,False,phone,1585456314
7261,True,phone,1585421187
78218,True,phone,1585467893
34972,True,phone,1585431495
92584,True,phone,1585457117
92584,True,phone,1585426327
1702,False,tablet,1585441813
5956,True,phone,1585440438
13460,True,computer,1585401198
93138,True,computer,1585468919
28502,True,phone,1585406104
76862,False,computer,1585456225
45964,True,phone,1585441954
27390,True,phone,1585422001
94102,True,phone,1585431050
92208,False,phone,1585416443
59025,True,phone,1585418012
5284,False,computer,1585460413
61411,False,phone,1585416424
28000,False,computer,1585455820
13781,True,phone,1585423165
45765,False,phone,1585447262
90957,True,phone,1585475789
65895,False,tablet,1585405674
64746,True,computer,1585454866
50854,True,computer,1585462918
92584,True,phone,1585430643
58549,False,phone,1585422995
8128,True,phone,1585465882
61468,True,computer,1585430291
38742,True,phone,1585407425
9637,True,phone,1585468890
4998,True,phone,1585473267
26342,False,phone,1585413108
79274,True,phone,1585468133
11840,True,phone,1585410625
13734,True,computer,1585427426
3222,True,phone,1585436049
21337,True,phone,1585413505
39189,True,phone,1585403069
9175,True,computer,1585468004
67242,True,phone,1585474294
76435,True,computer,1585455939
74850,True,computer,1585432147
81349,True,phone,1585424823
26079,True,phone,1585451023
8807,True,phone,1585458183
99114,True,computer,1585467386
29524,True,tablet,1585442355
44802,True,phone,1585414472
52733,True,computer,1585423396
36165,True,computer,1585464712
22487,True,phone,1585435854
25969,True,phone,1585465684
26818,True,phone,1585458636
6498,False,computer,1585431743
43250,True,phone,1585445047
60676,True,phone,1585453219
27715,True,phone,1585433930
8650,True,computer,1585477023
91944,True,phone,1585415280
17301,True,phone,1585415849
61079,False,phone,1585431561
3513,False,computer,1585433370
70566,False,phone,1585463013
72057,True,tablet,1585434854
74751,True,phone,1585409542
80551,True,computer,1585419552
61468,True,computer,1585444317
16291,True,phone,1585469000
91152,True,computer,1585479967
14647,False,computer,1585414525
75233,True,phone,1585470102
8361,True,computer,1585425587
70610,True,phone,1585470049
57470,True,computer,1585416545
49540,True,computer,1585471964
71154,True,phone,1585462700
8925,True,computer,1585435112
62702,True,computer,1585433400
72391,True,phone,1585420846
85045,True,computer,1585401629
54142,True,computer,1585468802
92584,True,phone,1585420770
47385,True,computer,1585474408
31646,True,phone,1585476343
84728,True,computer,1585435328
89596,True,computer,1585402832
31634,True,phone,1585467942
99116,True,phone,1585424713
68376,True,phone,1585402544
6348,False,phone,1585427490
67745,False,phone,1585410447
93940,True,phone,1585437096
47947,True,computer,1585427660
28719,True,computer,1585463947
65926,True,computer,1585441980
55851,True,phone,1585477710
44871,True,phone,1585420660
56804,False,phone,1585411446
96162,False,phone,1585447767
45590,False,computer,1585437127
60206,True,phone,1585454534
92165,False,tablet,1585421333
27995,True,phone,1585479425
18424,True,phone,1585466896
56321,True,phone,1585467889
63168,True,tablet,1585451243
55895,False,phone,1585438829
17323,True,phone,1585453400
8836,True,phone,1585431735
42191,False,computer,1585436303
89631,True,phone,1585432978
96966,True,computer,1585462365
52343,True,computer,1585459944
64064,True,computer,1585426150
38129,True,phone,1585407913
36165,True,phone,1585435383
37409,True,phone,1585477486
7903,True,phone,1585476322
77441,False,phone,1585436354
91071,False,computer,1585435875
59441,True,computer,1585477988
9886,False,computer,1585444427
59822,True,computer,1585414992
2117,True,computer,1585472037
14813,True,phone,1585429637
72303,True,phone,1585438746
78899,True,phone,1585408307
31342,False,phone,1585442878
82563,True,computer,1585415068
12179,True,computer,1585412991
64064,True,phone,1585414138
45135,False,phone,1585403577
28719,True,phone,1585433495
95660,False,phone,1585414454
19242,True,computer,1585442505
36874,True,computer,1585420281
53558,True,phone,1585461714
61710,True,phone,1585416269
97593,True,phone,1585472498
5473,True,phone,1585455541
93321,True,phone,1585474039
82361,True,computer,1585468482
55426,True,phone,1585421220
47766,True,computer,1585419183
99952,False,computer,1585454668
32801,True,computer,1585442656
12861,True,phone,1585407062
12342,True,phone,1585438084
50016,True,computer,1585428277
55247,True,phone,1585443264
80593,True,phone,1585465178
8145,True,computer,1585438852
2287,False,phone,1585454501
25817,True,phone,1585477996
77666,False,computer,1585434669
95954,True,phone,1585439138
95658,False,computer,1585469966
34818,True,phone,1585410883
95121,False,computer,1585403154
2249,True,phone,1585413398
35460,False,phone,1585469548
70622,True,computer,1585419510
78349,True,phone,1585404437
44084,True,phone,1585436843
53225,True,phone,1585401890
33816,True,phone,1585466247
38475,False,phone,1585435095
59369,True,phone,1585479019
84348,False,phone,1585428373
5506,True,computer,1585415093
9908,True,tablet,1585415208
12130,True,phone,1585450759
78349,True,phone,1585444953
13609,True,computer,1585458042
52870,True,computer,1585437490
83781,False,computer,1585407954
29978,True,phone,1585449615
74971,True,computer,1585445953
42003,True,phone,1585406812
18757,True,phone,1585462195
56889,True,computer,1585469342
92400,True,computer,1585439900
92584,True,phone,1585428947
47105,True,phone,1585479669
17355,True,computer,1585447575
63335,True,phone,1585462929
73960,True,phone,1585428912
82703,False,tablet,1585462095
40287,False,phone,1585442308
9295,False,phone,1585418884
40002,False,phone,1585443264
75200,True,phone,1585416989
78300,True,phone,1585400552
52477,True,phone,1585445431
11784,True,computer,1585437628
51790,True,phone,1585402501
66788,True,phone,1585421716
37097,False,computer,1585439941
76584,True,computer,1585463332
63866,True,computer,1585422345
34277,True,phone,1585420045
47897,False,computer,1585474647
85749,True,phone,1585444490
18406,True,computer,1585467852
24577,True,phone,1585456579
23021,False,computer,1585461585
37334,True,phone,1585434448
34841,True,computer,1585473833
36408,True,phone,1585419055
21557,True,phone,1585444371
79272,True,tablet,1585416039
36165,True,phone,1585430415
57588,True,computer,1585409491
87228,True,computer,1585463689
76086,True,phone,1585447333
56850,True,computer,1585465596
85539,True,computer,1585468936
53594,True,phone,1585456218
27470,False,computer,1585443046
77837,True,computer,1585476986
2573,True,computer,1585422442
17295,False,computer,1585428053
28719,True,phone,1585425490
48315,True,phone,1585424562
65811,True,tablet,1585410605
17602,False,tablet,1585406977
45523,False,computer,1585414695
69347,True,computer,1585469279
61468,True,phone,1585441266
39395,True,phone,1585441577
60754,False,phone,1585428715
82745,True,tablet,1585460460
79275,True,phone,1585401072
80771,False,phone,1585475513
56943,True,phone,1585425056
73102,True,computer,1585439036
57939,True,phone,1585404360
56548,True,phone,1585435112
2925,True,computer,1585441697
1597,False,tablet,1585429803
17742,False,computer,1585474557
26618,True,phone,1585407521
29679,False,phone,1585416200
73351,False,phone,1585435614
12179,True,computer,1585472414
9990,True,tablet,1585439048
278,True,phone,1585410739
71559,True,phone,1585431232
9504,True,computer,1585439403
6613,False,computer,1585457849
94260,True,computer,1585414993
95908,True,phone,1585464694
9314,True,phone,1585455369
29681,True,phone,1585433286
22695,False,computer,1585417829
80912,True,computer,1585403337
2036,True,phone,1585429296
76519,True,phone,1585418563
92584,True,phone,1585413090
87698,True,computer,1585441618
1014,True,computer,1585423068
13060,True,phone,1585404280
60403,True,phone,1585429105
82563,True,computer,1585401634
58281,True,phone,1585460370
61473,True,phone,1585453072
9228,False,phone,1585461162
61473,True,phone,1585411624
64214,True,phone,1585418007
55021,True,phone,1585412327
48092,False,phone,1585438123
13118,True,phone,1585438653
82574,False,phone,1585402951
1503,True,phone,1585403011
61473,True,phone,1585417345
23183,True,phone,1585468181
41405,True,tablet,1585446428
56121,True,phone,1585461872
19978,True,computer,1585474735
52567,True,phone,1585421292
77277,False,phone,1585449312
17626,True,computer,1585472630
55707,True,computer,1585458661
78621,True,computer,1585402068
96108,True,phone,1585435487
20366,True,phone,1585475020
36165,True,phone,1585403336
27552,False,phone,1585461849
58340,True,phone,1585471934
43045,False,phone,1585443741
98954,True,computer,1585411599
67120,True,phone,1585428326
48050,False,computer,1585438071
23817,True,phone,1585459198
719,False,phone,1585431160
55197,True,phone,1585477321
24759,True,computer,1585470231
92584,True,phone,1585453694
40285,True,phone,1585422194
8340,False,phone,1585446940
48543,False,phone,1585410116
18129,True,phone,1585455834
83205,False,phone,1585448057
71842,True,computer,1585464470
90652,True,phone,1585408811
50740,True,phone,1585466703
87634,True,phone,1585466155
39591,False,tablet,1585437512
63791,True,phone,1585422533
92125,True,phone,1585478002
68872,True,computer,1585441772
58979,False,computer,1585423225
5142,True,tablet,1585475962
44413,True,computer,1585413525
36165,True,computer,1585408743
28719,True,phone,1585464184
13391,True,computer,1585451115
11206,True,computer,1585440475
92562,True,phone,1585467278
92584,True,phone,1585462377
67260,True,phone,1585413206
87555,False,computer,1585409519
52870,True,computer,1585471074
1742,True,phone,1585429946
62585,True,phone,1585432984
12179,True,phone,1585407743
92141,True,phone,1585417417
48945,False,computer,1585429004
964,True,phone,1585475113
92584,True,tablet,1585461791
13210,True,phone,1585464125
61358,False,phone,1585441707
48712,True,phone,1585434899
69682,False,phone,1585463721
42970,True,phone,1585470511
55891,True,computer,1585430306
61468,True,phone,1585439167
5178,True,phone,1585423545
89062,True,tablet,1585462818
85719,True,phone,1585461603
36570,True,phone,1585456786
58611,True,phone,1585451703
65413,True,phone,1585447885
63793,True,phone,1585427253
56372,False,computer,1585406726
2946,False,computer,1585469870
78349,True,computer,1585456785
12179,True,phone,1585461727
73602,True,phone,1585474113
60204,True,phone,1585409906
53505,True,phone,1585437948
89462,True,tablet,1585413454
82064,False,computer,1585430935
92009,False,phone,1585433044
50950,True,phone,1585478648
94622,True,computer,1585422639
40867,False,computer,1585404486
69943,True,phone,1585459574
48042,True,phone,1585473460
15978,True,computer,1585405860
13097,True,phone,1585476946
51861,False,computer,1585406608
63931,True,phone,1585436452
65538,True,phone,1585410060
35037,True,phone,1585477621
23679,True,phone,1585462721
56838,True,phone,1585402268
3499,True,computer,1585433817
78349,True,phone,1585432929
2812,True,phone,1585464828
88665,True,phone,1585410390
25938,False,computer,1585433807
49101,False,tablet,1585474372
16924,True,computer,1585412144
9873,True,phone,1585469012
80143,True,tablet,1585418909
32715,False,phone,1585439005
62946,False,computer,1585428664
37740,True,computer,1585456648
732,True,phone,1585410448
70849,False,computer,1585407024
60874,True,computer,1585400996
56699,True,phone,1585421972
17239,True,tablet,1585445399
36165,True,computer,1585455061
36165,True,computer,1585452619
5961,True,tablet,1585477367
25040,True,phone,1585475121
78256,True,phone,1585409276
99567,False,phone,1585406510
61057,False,phone,1585404570
20952,True,phone,1585428710
22110,False,phone,1585472624
27755,False,phone,1585415955
9834,False,tablet,1585470188
30712,True,computer,1585467231
96199,True,computer,1585422861
79376,False,tablet,1585461026
12179,True,phone,1585426853
42531,True,computer,1585417609
12438,True,phone,1585464717
12179,True,computer,1585404086
71110,True,phone,1585467730
2480,True,phone,1585402378
25443,True,computer,1585464664
71575,True,phone,1585417385
19147,False,tablet,1585420286
16237,True,computer,1585434197
75822,True,phone,1585433047
61332,True,phone,1585423945
61133,False,phone,1585450383
72306,True,computer,1585440381
70178,True,phone,1585434180
93798,False,phone,1585460563
56487,True,phone,1585402593
47415,True,phone,1585426903
46366,True,phone,1585449416
62086,True,phone,1585467793
32015,False,computer,1585447288
53792,False,computer,1585447285
44797,True,computer,1585432721
76877,True,phone,1585428861
29621,True,phone,1585462384
8279,True,computer,1585453663
52064,False,computer,1585468840
19890,False,phone,1585413239
35433,False,phone,1585475108
52583,True,computer,1585454693
87942,True,phone,1585435981
60797,True,phone,1585412118
