client,premium,age
46346,False,58
4391,False,55
27372,False,64
11989,False,44
60664,False,49
78605,False,36
14477,False,34
77451,False,49
35036,False,48
11623,False,42
61559,False,59
32406,False,24
78648,False,44
62404,False,40
22421,False,25
92440,False,21
91584,False,31
76877,False,69
57853,False,53
68848,False,35
18212,False,38
60379,False,52
74867,True,27
49379,True,25
88203,True,35
49675,False,48
99585,False,50
49747,False,24
65413,False,44
32603,True,20
83175,False,24
82505,False,59
37237,False,63
28007,False,34
1626,False,39
21384,False,26
65866,False,37
624,False,62
30889,False,43
85803,False,46
67059,False,31
8975,False,46
48180,False,38
73760,False,37
52085,False,49
40821,False,46
64638,False,58
16710,False,41
36715,False,23
37684,False,23
67243,False,37
53182,True,24
98964,False,39
34547,False,28
59733,False,35
50131,True,42
40,False,52
23762,False,46
51091,False,39
11427,False,29
48056,False,68
90090,False,38
65481,False,46
18541,False,46
1813,True,27
43422,True,49
6222,False,44
21515,False,51
41722,True,52
41097,False,38
42778,False,30
55141,False,62
51831,False,49
21972,False,61
1676,False,38
39831,False,55
54119,False,51
47897,True,22
86561,False,41
22799,True,65
95908,False,61
85889,False,47
28942,False,36
89058,False,66
94508,False,27
51790,False,29
96199,False,64
77947,True,63
11950,False,24
83523,False,22
69826,False,25
14619,False,42
61892,False,20
45547,True,40
78300,True,50
92009,False,23
62867,False,69
25003,True,57
24075,False,43
3256,True,34
82574,False,32
12138,False,68
99079,False,61
54827,False,59
55147,False,37
68316,False,36
89079,False,60
26818,False,27
99533,False,45
64064,False,49
51691,False,38
32051,False,36
19130,True,61
47959,False,68
44970,False,49
87175,False,40
66491,True,51
42685,False,67
70681,False,57
50286,False,26
10001,False,49
17476,False,56
53166,True,29
75976,False,40
73387,False,68
23707,True,24
92226,False,46
65622,False,59
77634,False,59
19356,False,61
72057,True,29
56699,False,27
57161,False,20
74604,False,51
73462,False,29
6875,False,48
68001,False,67
84554,True,36
95489,True,54
82563,False,28
7401,False,33
28613,True,23
87341,False,43
5740,False,37
75762,True,40
1263,False,65
50003,True,62
18110,False,41
7148,False,35
10454,False,39
47385,False,21
36850,True,31
8071,False,28
405,False,37
22036,False,65
53337,False,37
67242,False,54
2932,False,28
80026,True,59
21337,False,60
61057,False,24
86496,True,51
76791,False,64
82038,False,63
63292,False,33
2633,False,65
63789,False,42
68000,False,55
66467,False,28
1406,False,33
75529,False,59
80263,False,25
98658,True,47
56176,False,24
47627,False,37
47454,False,66
69330,False,33
73249,True,62
8925,False,66
38626,False,27
52352,False,47
16730,False,69
8167,False,64
61677,False,55
23868,False,47
46374,True,55
24009,True,39
52216,False,25
90341,False,31
51006,False,56
29883,False,21
76172,False,68
36408,False,30
81092,False,31
37982,False,48
48333,False,63
24399,False,35
1975,False,45
77666,False,52
60719,False,51
20131,True,67
39050,False,43
37740,False,51
7809,False,27
67366,False,56
45089,False,62
5814,False,44
77837,False,51
23203,False,26
17403,False,48
60805,True,21
35319,False,60
68427,False,27
36780,False,33
39448,False,40
55355,False,56
48145,True,60
63931,False,39
73089,False,31
76810,False,40
14657,False,55
24498,False,54
50789,False,52
51634,False,29
93798,False,47
6246,True,49
5284,False,60
42930,False,53
26410,True,25
19642,False,54
75477,False,22
44535,False,50
91784,False,28
82834,False,57
55030,False,37
6668,False,33
48838,False,30
86663,False,59
52935,False,59
17287,False,60
92584,False,28
87779,False,68
99754,False,30
19230,False,20
67476,False,61
61529,True,36
96952,False,39
19985,False,30
94161,False,67
9935,False,37
73856,False,43
2703,False,45
49692,False,64
13382,True,69
30335,False,51
13823,False,34
15130,False,56
61575,False,33
48016,False,38
92625,False,40
86174,False,67
50963,False,29
88238,False,66
69654,False,60
1136,False,64
42543,False,53
26079,False,66
56151,True,47
4610,False,35
12117,True,37
19569,False,34
43250,False,66
13119,False,25
80260,False,39
79199,False,56
29493,False,27
39534,False,65
19898,False,66
30522,False,47
17163,True,58
10196,False,45
83678,False,29
6534,False,27
55673,False,49
88987,False,29
35709,False,68
69578,False,62
65212,True,30
75350,False,56
65136,True,54
79983,False,23
87375,False,40
90739,False,51
57273,False,21
85045,False,41
7744,False,57
66723,True,66
89605,False,26
45204,False,29
12502,False,66
61468,False,25
41901,False,38
81490,False,44
58549,False,37
53401,False,21
98419,False,29
63374,True,67
49989,False,58
36194,False,64
85318,False,30
72391,False,34
61007,False,21
14634,True,56
85606,False,34
1534,True,38
64775,False,49
17861,False,22
99903,True,50
74281,False,57
38742,False,28
29692,False,25
89790,False,61
72573,False,37
50566,False,44
85903,False,69
72303,False,28
87243,False,23
98467,False,47
44413,True,25
66266,False,37
40501,False,32
54614,False,28
21756,False,58
3058,False,48
70665,False,39
17530,False,68
70849,False,30
60201,False,34
93883,False,54
35406,True,69
51018,True,57
86977,False,50
68546,False,33
17279,False,39
43594,False,21
8804,True,55
82480,False,36
65701,False,65
11983,True,68
65322,True,29
56818,False,47
72463,False,60
69854,False,61
18199,False,49
91201,False,23
78455,True,23
33399,False,66
5820,False,38
30006,False,21
28659,True,23
4589,False,53
52846,False,36
15788,False,28
92562,True,46
43015,False,28
56548,False,36
56161,False,63
26521,False,24
99908,False,50
28240,False,36
47311,False,46
21109,False,47
80520,False,58
31442,True,21
5424,False,27
73786,False,37
15320,True,59
55851,False,52
46989,False,39
13568,False,30
57588,False,25
85964,False,52
56752,True,34
58171,False,25
45135,True,59
82678,False,56
87490,False,21
43914,False,35
90531,False,42
18680,False,68
59851,False,54
97879,False,29
44829,False,36
45561,False,26
96551,False,47
76611,False,65
32738,False,41
63168,False,39
57240,False,27
92320,False,30
56033,False,50
44972,False,31
38860,False,47
53377,False,25
2461,True,53
64918,False,68
3816,False,55
2249,True,52
84681,False,29
89655,False,65
67322,False,44
35607,False,47
84488,False,45
12334,False,38
87932,False,47
55917,True,25
14521,False,54
69490,False,63
39395,False,53
65748,False,31
89953,False,59
94585,False,45
31634,False,40
84576,True,25
60270,False,62
82577,True,65
64245,False,50
94658,False,65
78526,False,46
99351,False,69
29343,False,46
28750,True,44
79050,False,66
34841,False,61
8400,False,33
46941,False,30
25932,False,39
81973,True,35
22956,False,43
3178,False,23
55021,False,49
20994,False,44
52702,False,44
83180,False,21
25467,False,49
14548,False,57
51898,False,30
278,False,39
17301,False,68
12883,False,63
76192,False,28
26803,False,62
99711,False,32
58132,False,46
64990,False,27
72122,False,53
7246,False,48
6888,False,60
47034,False,49
32952,True,44
97753,True,47
87960,False,41
73175,False,29
88586,False,50
85642,True,63
77667,False,30
8910,False,43
57976,False,69
27978,False,29
59441,True,60
99263,False,23
42627,False,63
