id,group,events
16046,A,14
18712,A,41
3268,A,30
22633,A,37
28071,A,38
1794,A,34
805,A,24
8469,A,20
19910,A,35
18064,A,28
18960,A,37
2827,A,24
6792,A,40
21290,A,26
19267,A,29
22730,A,20
5631,A,29
2380,A,45
7570,A,28
9974,A,29
19845,A,25
23701,A,22
21471,A,13
20072,A,25
18900,A,16
866,A,25
21198,A,18
6003,A,24
9486,A,39
5234,A,30
19928,A,33
23358,A,24
18479,A,33
3510,A,20
17480,A,22
3328,A,41
29442,A,21
8090,A,27
2533,A,35
12793,A,48
16140,A,39
1179,A,12
10298,A,50
10313,A,48
26267,A,33
14576,A,25
29843,A,21
11571,A,23
8659,A,15
28484,A,18
28015,A,27
26463,A,15
29376,A,18
15623,A,32
25843,A,26
15448,A,26
15406,A,36
19049,A,30
21051,A,22
20386,A,37
22235,A,33
6129,A,39
2295,A,48
7847,A,36
12358,A,18
29350,A,26
8321,A,41
18564,A,17
21829,A,33
23286,A,35
20240,A,18
22630,A,25
3626,A,26
18789,A,37
10656,A,32
15697,A,15
5138,A,23
17279,A,28
7108,A,39
26191,A,32
7409,A,34
3824,A,34
10022,A,33
25828,A,39
9386,A,22
23436,A,38
12506,A,30
2489,A,40
21247,A,25
16726,A,29
10284,A,31
5545,A,23
9832,A,28
18962,A,17
14202,A,36
28125,A,12
22546,A,41
5698,A,20
21144,A,44
4497,A,51
1430,A,38
19402,A,42
11708,A,15
2260,A,20
9341,A,32
24281,A,27
109,A,23
13568,A,37
7184,A,14
10112,A,25
128,A,39
4339,A,45
27227,A,28
3493,A,28
18644,A,35
20872,A,28
9924,A,34
26877,A,40
17502,A,16
26394,A,20
16090,A,14
25059,A,42
4689,A,30
10685,A,23
22318,A,22
21940,A,19
2782,A,38
2238,A,37
16539,A,23
18927,A,34
29088,A,19
5591,A,29
25012,A,30
3373,A,27
1655,A,32
8812,A,13
29914,A,25
27869,A,11
16330,A,32
10398,A,35
23925,A,21
28233,A,19
1021,A,29
1849,A,32
20994,A,13
22978,A,37
20896,A,31
7246,A,32
26534,A,35
23362,A,31
14234,A,19
10326,A,29
13963,A,16
12084,A,35
28170,A,27
6328,A,28
14397,A,26
1944,A,20
15809,A,37
2638,A,41
27155,A,26
23951,A,26
10448,A,57
22606,A,33
8120,A,38
15349,A,55
3769,A,23
7727,A,15
14585,A,37
26914,A,5
1510,A,40
2095,A,26
22254,A,29
18483,A,43
23692,A,55
11512,A,35
2379,A,25
3804,A,40
10171,A,51
940,A,26
9550,A,39
8905,A,40
2007,A,27
17755,A,21
11126,A,22
26484,A,7
8428,A,20
20908,A,34
15147,A,28
21733,A,25
1144,A,22
10013,A,30
12509,A,26
2407,A,38
19657,A,32
11740,A,47
28165,A,33
20754,A,34
7976,A,49
25671,A,26
659,A,19
29802,A,24
20693,A,28
1733,A,37
2406,A,16
7413,A,18
22504,A,29
20847,A,37
6795,A,23
2915,A,35
17539,A,39
9532,A,35
19817,A,41
2708,A,22
13783,A,27
583,A,35
24280,A,14
9434,A,35
15559,A,39
9279,A,27
19412,A,23
16577,A,16
6875,A,30
2814,A,20
14488,A,34
12662,A,22
5167,A,28
1683,A,45
13180,A,25
28696,A,40
12491,A,8
25545,A,35
23021,A,33
15325,A,51
1987,A,25
12078,A,30
26440,A,27
10560,A,25
1029,A,20
16879,A,33
11538,A,29
27901,A,24
