id,group,segment,events
83440,test,high,78.0
96723,test,high,71.0
68719,test,high,80.0
50399,test,high,80.0
95613,test,high,78.0
49481,test,high,81.0
95408,test,high,57.0
7582,test,high,67.0
32404,test,high,73.0
12624,test,high,76.0
55355,test,high,60.0
454,test,high,62.0
1948,test,high,75.0
19636,test,high,79.0
69109,test,high,84.0
16927,test,high,65.0
40165,test,high,75.0
81284,test,high,62.0
75345,test,high,62.0
51802,test,high,63.0
92692,test,high,63.0
29058,test,high,61.0
69936,test,high,72.0
58816,test,high,69.0
3933,test,high,70.0
95354,test,high,71.0
78603,test,high,77.0
99003,test,high,75.0
86836,test,high,80.0
25547,test,high,73.0
19239,test,high,75.0
93997,test,high,78.0
65797,test,high,64.0
6327,test,high,74.0
33888,test,high,66.0
83816,test,high,61.0
74820,test,high,57.0
23705,test,high,79.0
83365,test,high,60.0
74339,test,high,60.0
3215,test,high,81.0
83136,test,high,89.0
91291,test,high,62.0
33158,test,high,66.0
16886,test,high,65.0
77637,test,high,79.0
41039,test,high,61.0
33474,test,high,70.0
61899,test,high,70.0
60261,test,high,77.0
78432,test,high,60.0
17447,test,high,78.0
5858,test,high,64.0
46544,test,high,54.0
25175,test,high,67.0
77815,test,high,62.0
99709,test,high,98.0
61165,test,high,92.0
61234,test,high,61.0
11742,test,high,60.0
51066,test,high,79.0
69095,test,high,72.0
40026,test,high,65.0
47501,test,high,72.0
28120,test,high,77.0
85199,test,high,63.0
19339,test,high,80.0
35576,test,high,78.0
81940,test,high,74.0
90824,test,high,59.0
1100,test,high,77.0
8475,test,high,73.0
94504,test,high,73.0
5226,test,high,56.0
7885,test,high,57.0
9679,test,high,55.0
65750,test,high,54.0
16059,test,high,65.0
68357,test,high,75.0
45516,test,high,58.0
59335,test,high,55.0
28971,test,high,68.0
31364,test,high,67.0
38259,test,high,79.0
44219,test,high,71.0
96104,test,high,58.0
55567,test,high,76.0
29675,test,high,60.0
93180,test,high,78.0
16916,test,high,70.0
11971,test,high,77.0
2028,test,high,69.0
14903,test,high,75.0
58995,test,high,79.0
84301,test,high,65.0
35544,test,high,71.0
39189,test,high,78.0
7033,test,high,64.0
69080,test,high,50.0
15517,test,high,71.0
74897,test,high,62.0
97696,test,high,79.0
36707,test,high,68.0
31734,test,high,75.0
94708,test,high,60.0
9052,test,high,71.0
61207,test,high,79.0
68655,test,high,84.0
37770,test,high,72.0
68081,test,high,76.0
95307,test,high,70.0
94260,test,high,78.0
49598,test,high,79.0
83467,test,high,74.0
81612,test,high,86.0
83032,test,high,76.0
49959,test,high,69.0
31529,test,high,62.0
82428,test,high,70.0
10202,test,high,57.0
84550,test,high,75.0
20292,test,high,67.0
96397,test,high,62.0
66422,test,high,75.0
65367,test,high,55.0
97289,test,high,73.0
36372,test,high,74.0
40995,test,high,69.0
71704,test,high,65.0
52475,test,high,67.0
24110,test,high,73.0
40134,test,high,74.0
11100,test,high,73.0
90216,test,high,73.0
10490,test,high,70.0
1795,test,high,65.0
80365,test,high,79.0
3492,test,high,79.0
54403,test,high,84.0
45410,test,high,60.0
55035,test,high,81.0
65151,test,high,70.0
44554,test,high,58.0
30722,test,high,73.0
87828,test,high,84.0
68065,test,high,81.0
29458,test,high,74.0
91311,test,high,66.0
85719,test,high,65.0
51516,test,high,63.0
49350,test,high,72.0
49018,test,high,63.0
29123,test,high,72.0
41576,test,high,66.0
74430,test,high,57.0
15623,test,high,76.0
354,test,high,64.0
63291,test,high,64.0
56196,test,high,60.0
82451,test,high,71.0
79484,test,high,72.0
41301,test,high,75.0
43763,test,high,78.0
88440,test,high,76.0
33035,test,high,83.0
93955,test,high,66.0
26431,test,high,66.0
45664,test,high,66.0
32757,test,high,76.0
87945,test,high,64.0
18321,test,high,66.0
8464,test,high,75.0
10127,test,high,77.0
1800,test,high,69.0
3789,test,high,72.0
19021,test,high,55.0
89420,test,high,74.0
44885,test,high,76.0
66479,test,high,75.0
57450,test,high,69.0
29438,test,high,78.0
59423,test,high,68.0
66145,test,high,69.0
63650,test,high,62.0
5652,test,high,64.0
98078,test,high,93.0
3187,test,high,66.0
47993,test,high,51.0
63925,test,high,70.0
22649,test,high,79.0
11652,test,high,80.0
1000,test,high,78.0
34307,test,high,71.0
51500,test,high,76.0
74190,test,high,58.0
82022,test,high,86.0
67239,test,high,90.0
26746,test,high,60.0
13392,test,high,79.0
1610,test,high,77.0
57274,test,high,64.0
63806,test,high,79.0
50854,test,high,63.0
77201,test,high,73.0
50257,test,high,58.0
58392,test,high,76.0
26353,test,high,62.0
30435,test,high,66.0
99085,test,high,72.0
96369,test,high,54.0
86275,test,high,60.0
172,test,high,83.0
3876,test,high,66.0
99474,test,high,65.0
54530,test,high,73.0
67482,test,high,69.0
22117,test,high,59.0
85943,test,high,78.0
27198,test,high,58.0
49200,test,high,56.0
75083,test,high,62.0
76889,test,high,79.0
73255,test,high,76.0
88650,test,high,86.0
46193,test,high,73.0
18179,test,high,64.0
23435,test,high,71.0
18616,test,high,78.0
25896,test,high,71.0
50225,test,high,57.0
95866,test,high,69.0
34373,test,high,78.0
2978,test,high,72.0
8282,test,high,62.0
13577,test,high,66.0
59897,test,high,64.0
18316,test,high,83.0
46960,test,high,72.0
69004,test,high,91.0
67727,test,high,81.0
56117,test,high,73.0
79703,test,high,71.0
21888,test,high,72.0
92747,test,high,74.0
62622,test,high,69.0
75849,test,high,66.0
25873,test,high,65.0
16121,test,high,77.0
75048,test,high,65.0
19573,test,high,64.0
35348,test,high,71.0
13927,test,high,57.0
90740,test,high,68.0
63586,test,high,70.0
93250,test,high,59.0
73925,test,high,61.0
17277,test,high,71.0
5845,test,high,56.0
70770,test,high,79.0
98612,test,high,66.0
52479,test,high,63.0
7089,test,high,76.0
72609,test,high,68.0
54311,test,high,70.0
78499,test,high,64.0
10205,test,high,82.0
12039,test,high,71.0
7069,test,high,70.0
21122,test,high,74.0
74940,test,high,83.0
1177,test,high,86.0
44983,test,high,64.0
19524,test,high,69.0
57558,test,high,68.0
4240,test,high,75.0
34270,test,high,79.0
61053,test,high,70.0
7878,test,high,66.0
73508,test,high,78.0
33459,test,high,63.0
5322,test,high,69.0
36278,test,high,56.0
85159,test,high,76.0
86020,test,high,77.0
19004,test,high,75.0
