order_id,delivery_time,district,experiment_group
3159,44.0,Purlieus,control
10426,51.0,Purlieus,control
9155,46.0,Purlieus,control
10699,34.0,Purlieus,control
10061,43.0,Purlieus,control
5535,38.0,Purlieus,control
5793,43.0,Purlieus,control
3756,36.0,Purlieus,control
3394,57.0,Purlieus,control
1937,48.0,Purlieus,control
8297,44.0,Purlieus,control
9203,43.0,Purlieus,control
2928,50.0,Purlieus,control
2293,41.0,Purlieus,control
4493,55.0,Purlieus,control
9061,28.0,Central,control
1942,53.0,Purlieus,control
5522,33.0,Purlieus,control
7840,37.0,Purlieus,control
4587,53.0,Purlieus,control
5025,48.0,Purlieus,control
10896,61.0,Suburb,control
2934,53.0,Purlieus,control
5074,48.0,Purlieus,control
6989,44.0,Purlieus,control
7280,54.0,Purlieus,control
9798,58.0,Purlieus,control
9140,50.0,Purlieus,control
3398,46.0,Purlieus,control
8347,34.0,Purlieus,control
10319,55.0,Purlieus,control
4174,34.0,Purlieus,control
7989,43.0,Purlieus,control
9138,44.0,Purlieus,control
4821,44.0,Purlieus,control
5623,39.0,Purlieus,control
2923,56.0,Purlieus,control
3448,34.0,Purlieus,control
4793,53.0,Purlieus,control
3560,30.0,Purlieus,control
2886,53.0,Purlieus,control
5379,50.0,Purlieus,control
10187,51.0,Purlieus,control
9513,44.0,Purlieus,control
6426,52.0,Purlieus,control
3224,58.0,Purlieus,control
6117,41.0,Purlieus,control
6995,47.0,Purlieus,control
6587,43.0,Purlieus,control
6801,40.0,Purlieus,control
6314,49.0,Purlieus,control
5872,52.0,Purlieus,control
10200,56.0,Purlieus,control
7907,49.0,Purlieus,control
8256,46.0,Purlieus,control
1191,67.0,Suburb,control
2671,43.0,Purlieus,control
4572,52.0,Purlieus,control
4538,44.0,Purlieus,control
10008,42.0,Purlieus,control
10653,45.0,Purlieus,control
10464,38.0,Purlieus,control
1318,39.0,Purlieus,control
1123,49.0,Purlieus,control
4559,40.0,Purlieus,control
8258,47.0,Purlieus,control
2689,55.0,Purlieus,control
2166,46.0,Purlieus,control
9703,35.0,Purlieus,control
4332,42.0,Purlieus,control
2587,46.0,Purlieus,control
7281,56.0,Purlieus,control
8973,41.0,Purlieus,control
7874,57.0,Purlieus,control
7208,51.0,Purlieus,control
9753,27.0,Central,control
4986,50.0,Purlieus,control
7229,52.0,Purlieus,control
5597,61.0,Suburb,control
5360,30.0,Purlieus,control
9447,49.0,Purlieus,control
8691,42.0,Purlieus,control
3214,40.0,Purlieus,control
4936,30.0,Purlieus,control
3758,39.0,Purlieus,control
2925,57.0,Purlieus,control
2177,45.0,Purlieus,control
3257,41.0,Purlieus,control
9851,56.0,Purlieus,control
6296,52.0,Purlieus,control
1413,43.0,Purlieus,control
6294,53.0,Purlieus,control
4974,31.0,Purlieus,control
7340,43.0,Purlieus,control
2746,33.0,Purlieus,control
3642,35.0,Purlieus,control
9286,37.0,Purlieus,control
3986,41.0,Purlieus,control
5651,51.0,Purlieus,control
9711,30.0,Purlieus,control
8739,47.0,Purlieus,control
10701,38.0,Purlieus,control
5742,55.0,Purlieus,control
6639,33.0,Purlieus,control
2279,46.0,Purlieus,control
5339,30.0,Purlieus,control
5475,48.0,Purlieus,control
2498,31.0,Purlieus,control
5726,39.0,Purlieus,control
4139,47.0,Purlieus,control
10198,42.0,Purlieus,control
1853,46.0,Purlieus,control
9783,36.0,Purlieus,control
5754,51.0,Purlieus,control
