,order_id,order_value,promo_type
0,89014417,22,no_promo
1,89027235,37,no_promo
2,88979766,27,no_promo
3,89065392,30,no_promo
4,88992397,32,no_promo
5,89054226,25,no_promo
6,89019462,30,no_promo
7,89004871,25,no_promo
8,89040172,21,no_promo
9,89040144,31,no_promo
10,89011586,27,no_promo
11,89010120,12,no_promo
12,89062426,12,no_promo
13,89072723,19,no_promo
14,88981465,35,no_promo
15,89052139,34,no_promo
16,89007805,32,SALE15
17,89043442,29,no_promo
18,89060951,30,no_promo
19,89069655,23,no_promo
20,89030576,21,no_promo
21,89008651,30,no_promo
22,88997639,21,no_promo
23,89036820,32,no_promo
24,88994210,28,no_promo
25,88985364,41,SALE15
26,89050896,24,SALE15
27,89064679,38,no_promo
28,88979862,20,no_promo
29,89046070,30,no_promo
30,89022645,25,no_promo
31,88982557,18,no_promo
32,89026144,30,no_promo
33,89048586,13,SALE15
34,88978393,24,no_promo
35,89008020,18,no_promo
36,89047884,32,no_promo
37,89006848,31,no_promo
38,89018466,29,no_promo
39,89034411,23,no_promo
40,88989342,30,SALE15
41,89075277,22,no_promo
42,89013484,39,no_promo
43,88984036,32,no_promo
44,89035508,8,no_promo
45,89074179,36,no_promo
46,89043791,15,no_promo
47,89017035,39,no_promo
48,88983334,35,no_promo
49,89033011,33,no_promo
50,89051618,22,no_promo
51,88986055,37,no_promo
52,89036770,22,no_promo
53,89046149,35,no_promo
54,89000138,32,no_promo
55,89000321,28,no_promo
56,89076163,28,no_promo
58,89052468,36,no_promo
59,89069210,24,no_promo
60,89003572,20,no_promo
61,89010091,31,no_promo
62,88983438,39,no_promo
63,89049398,29,no_promo
64,89038319,36,no_promo
65,89030816,34,no_promo
66,88987980,33,no_promo
67,89040196,35,no_promo
68,89069466,39,no_promo
69,89031228,31,no_promo
70,89016429,35,no_promo
71,88983226,31,no_promo
72,88978865,38,no_promo
73,89025200,28,no_promo
74,89063305,41,no_promo
75,88988768,38,no_promo
76,89020850,52,no_promo
77,89001546,29,no_promo
78,88988516,42,no_promo
79,89038515,25,no_promo
80,89042959,34,no_promo
81,89046437,29,no_promo
82,89014199,37,no_promo
83,89048918,45,no_promo
84,89031831,12,SALE15
85,89002812,32,no_promo
86,89031609,25,no_promo
87,89074834,37,no_promo
88,89050617,24,no_promo
89,88981542,28,no_promo
90,88983310,19,no_promo
91,89063192,28,no_promo
92,89025689,39,no_promo
93,89046016,37,no_promo
94,89066354,26,no_promo
95,89031525,28,no_promo
96,88979629,38,no_promo
97,89076788,11,no_promo
98,89065729,28,no_promo
99,89036573,34,no_promo
100,89063924,15,no_promo
101,89074242,23,no_promo
102,89014014,26,no_promo
103,89019127,28,SALE15
104,89041395,41,no_promo
105,89007859,24,no_promo
106,88997786,2,no_promo
107,89031539,43,no_promo
108,89070543,28,no_promo
109,88998361,36,no_promo
110,88995214,40,no_promo
111,89061780,20,no_promo
112,89072601,10,no_promo
113,89068319,43,SALE15
114,89015007,28,no_promo
115,89043050,18,no_promo
116,89047723,45,no_promo
117,88978440,27,no_promo
118,89003158,29,no_promo
119,89053684,25,no_promo
120,89067884,34,no_promo
121,89046034,27,no_promo
122,89026329,20,no_promo
123,89033327,42,no_promo
124,89003999,28,no_promo
125,89069576,28,no_promo
126,89074917,52,no_promo
127,89055970,23,no_promo
128,89001379,24,no_promo
129,89050542,38,no_promo
130,89014936,34,no_promo
131,89061733,23,no_promo
132,89001282,26,no_promo
133,88988521,22,no_promo
134,88999430,29,no_promo
135,89072274,43,no_promo
136,89039531,18,no_promo
137,89011009,28,no_promo
138,88990289,32,no_promo
139,88983133,23,no_promo
140,88996021,25,no_promo
141,89048853,26,no_promo
142,89013522,39,no_promo
143,89075880,39,no_promo
144,89068496,24,no_promo
145,88985977,26,no_promo
146,89033364,18,no_promo
147,89060331,35,no_promo
148,88989349,43,no_promo
149,89029652,22,no_promo
150,89037248,41,no_promo
151,89001497,26,no_promo
152,89056140,35,no_promo
153,89070910,25,SALE15
154,89061770,31,no_promo
155,89009477,35,no_promo
156,89060641,34,SALE15
157,89014642,35,SALE15
158,89053482,33,no_promo
159,89046046,33,no_promo
160,89005431,24,no_promo
161,89008090,23,no_promo
162,88998734,31,SALE15
163,89018584,31,no_promo
164,89050849,37,no_promo
165,89002717,45,no_promo
166,89025537,18,no_promo
167,89029733,31,no_promo
168,88984764,41,no_promo
169,89034092,17,SALE15
170,88982809,33,no_promo
171,89072246,37,no_promo
172,89034404,8,SALE15
173,89046684,24,no_promo
174,88987505,22,no_promo
175,89022992,26,no_promo
176,89022760,36,no_promo
177,89021707,33,no_promo
178,89056821,22,no_promo
179,88978178,41,no_promo
180,89018491,31,no_promo
181,89011257,36,no_promo
182,88990745,45,no_promo
183,89036336,31,no_promo
184,89075864,31,no_promo
185,89001480,34,no_promo
186,89038681,37,no_promo
187,89015353,32,no_promo
188,88988382,32,no_promo
189,89052580,23,no_promo
190,89035026,49,SALE15
191,88988894,29,no_promo
192,89019840,34,no_promo
193,88989010,25,SALE15
194,89061974,24,no_promo
195,89032715,33,no_promo
196,89001249,31,no_promo
197,88997645,9,no_promo
198,88998171,28,no_promo
199,89019019,38,SALE15
200,89004639,36,no_promo
201,89013513,23,no_promo
202,89014197,22,no_promo
203,88999969,25,no_promo
204,89002072,35,no_promo
205,89057803,31,no_promo
206,89031099,13,no_promo
207,89046579,36,no_promo
208,89030970,18,no_promo
209,88979128,34,no_promo
210,89004815,29,no_promo
211,88980844,30,no_promo
212,89067453,19,no_promo
213,89017457,29,no_promo
214,89011595,30,no_promo
215,89032350,26,SALE15
216,89010063,28,SALE15
217,89066833,31,no_promo
218,89030869,30,no_promo
219,89070533,32,no_promo
220,89075016,40,no_promo
221,88996289,15,no_promo
222,89063997,25,no_promo
223,89058265,23,no_promo
224,89026468,32,no_promo
225,89009083,19,SALE15
226,89077027,25,no_promo
227,89064472,30,no_promo
228,89012594,39,no_promo
229,89048188,18,no_promo
230,88984139,30,no_promo
231,89007966,30,no_promo
232,89026924,22,no_promo
233,89066487,34,no_promo
234,89025048,39,no_promo
235,89076241,22,no_promo
236,89021337,21,no_promo
237,89024653,21,no_promo
238,89042768,39,no_promo
239,89002763,31,no_promo
240,89067543,23,SALE15
241,89036095,33,no_promo
242,88988501,25,no_promo
243,88982142,26,no_promo
244,89013562,38,no_promo
245,89046669,26,no_promo
246,89056142,30,no_promo
247,88987136,34,no_promo
248,88996616,26,no_promo
249,89009955,31,no_promo
250,89049544,26,no_promo
251,89039173,13,no_promo
252,89022291,28,no_promo
253,89036984,32,SALE15
254,89052317,26,no_promo
