id;grp
1489;B
1627;A
1768;B
1783;B
1794;A
1803;B
1805;B
2067;A
2078;A
2080;B
2085;B
2213;A
2215;B
2229;B
2234;B
2264;B
2272;B
2277;B
2290;B
2385;B
2391;B
2392;A
2417;B
2419;A
2469;B
2470;B
2477;A
2480;A
2482;A
2535;B
2545;B
2729;B
2759;B
2862;B
2864;B
2866;B
2872;A
2874;B
2877;B
3185;B
3193;B
3387;B
3389;B
3391;A
3400;A
3401;B
3402;A
3409;B
3455;B
3699;B
3731;B
3733;B
3796;B
3809;B
3812;B
3820;B
4139;B
4181;B
4214;B
4268;B
4346;B
4391;B
4555;B
4558;A
4559;A
4597;B
4748;B
6009;A
6861;B
7304;B
7413;A
8086;B
10911;A
11079;B
11201;B
11671;B
12050;B
12228;B
12840;B
13647;A
13652;B
13654;B
14791;B
16807;A
17485;B
17680;A
17705;B
17706;B
17707;B
17921;B
18366;A
18786;B
18806;A
19782;B
19785;A
19919;B
19936;B
20115;B
20258;B
20472;A
20474;B
20483;B
20957;B
21629;A
21710;B
21753;B
21969;B
22152;B
22163;B
22205;B
22841;A
22929;A
22994;B
23535;B
23649;B
24121;A
24531;B
25697;B
25701;B
25795;B
25941;B
25973;B
26038;B
26244;A
26258;B
26280;B
26357;B
26359;B
26374;B
26375;B
26383;B
26409;B
26413;B
26418;A
26419;A
26420;A
26426;A
26432;B
26433;B
26434;B
26439;B
26440;B
26442;B
26443;B
26447;A
26608;A
26613;B
26621;A
26625;B
26631;B
26662;B
26663;B
26666;B
26667;A
26670;B
26677;B
26682;B
26683;A
26816;B
26899;B
26963;B
27079;B
27142;B
27283;B
27514;B
27589;B
27596;B
27729;B
27906;B
27931;B
27950;A
28105;B
28160;B
28274;B
28279;B
28282;B
28294;A
28598;B
28599;B
29021;B
29215;B
29467;A
29726;A
29881;B
30088;B
30090;A
30093;B
30095;B
30436;B
30550;A
31030;B
31117;B
95400;B
95509;A
95588;B
95595;B
96002;A
96047;B
96278;B
96377;B
96692;B
97118;B
97119;B
97341;B
97567;B
98010;B
98021;B
98027;A
98633;B
98802;B
98814;B
98895;B
99173;B
99302;B
99339;B
99561;B
99567;B
99575;B
100275;B
100283;B
100300;B
100404;A
100643;B
100645;B
100646;B
100681;B
100948;A
100951;B
100954;B
101096;A
101221;B
101225;B
101249;B
101839;A
101871;A
101881;B
101894;B
101895;B
101903;B
101927;B
101949;B
101956;B
101966;A
102142;B
102154;B
102206;B
102209;B
102215;B
102228;B
102253;B
102490;B
102498;B
102512;B
102528;B
102534;B
102540;A
102831;A
102885;A
102886;B
102887;A
102968;B
103026;B
103126;B
103151;B
103162;B
103164;B
103209;B
103211;B
103384;B
104000;B
104030;B
104044;B
104046;B
104158;B
104314;A
104407;B
104499;B
104596;B
104599;B
104610;A
104641;B
104652;B
104830;A
104943;B
105054;B
105366;B
105370;A
105393;B
105403;B
105422;A
105558;A
105560;B
105625;A
105642;B
105733;B
105831;B
105956;B
105960;B
105964;B
106210;B
106212;B
106223;A
106321;B
106324;B
106325;B
106330;A
106343;B
106620;A
106630;B
106640;B
106749;B
106837;B
106906;B
106916;B
106917;B
107048;B
107714;A
107760;B
108044;B
108237;B
108270;B
108561;A
108563;B
108630;B
108655;B
108656;B
108670;B
108875;B
109439;B
109532;B
109540;B
109623;A
109675;B
109695;B
109704;B
109719;B
109860;B
109923;B
110153;B
110154;B
110190;B
110277;B
110350;A
110353;A
110546;B
110701;B
110713;B
110721;B
110723;B
110724;A
110725;B
110753;B
111003;B
111005;B
111142;B
111160;B
111163;B
111209;B
111291;B
111394;B
111402;B
111409;B
111412;B
111414;A
111419;B
111421;B
111453;B
111464;B
111706;A
111736;B
111921;B
112010;B
112290;B
112419;B
112524;B
112528;B
112530;B
112537;B
112597;B
112636;A
112869;B
112871;B
112967;A
112971;B
112990;B
113037;B
113100;B
113238;B
113346;B
113348;B
113477;B
113659;B
113844;A
113849;B
113852;B
113853;B
113860;B
113863;B
113866;A
113874;B
113875;A
113955;A
114007;A
114009;B
114013;B
114342;B
114366;A
114471;B
114473;B
114500;A
114504;B
114507;A
114591;B
114600;A
114723;B
114822;B
115349;B
115353;B
115358;A
115363;B
115487;A
115540;A
115553;B
115558;B
115585;B
115658;B
116688;B
116739;B
116803;A
116956;B
116964;B
117196;B
117491;B
117512;A
117514;B
117516;B
117523;B
117557;B
118161;B
118201;A
118485;B
118489;B
118533;B
118751;B
118760;B
118762;B
118807;B
119214;B
119217;B
119232;A
119242;B
119480;B
119887;B
119893;B
120155;B
120157;B
120167;B
120172;B
120180;B
120489;B
120490;A
120736;A
120958;B
120970;B
121566;B
121575;B
121722;B
121770;B
121915;B
122236;B
122250;B
122267;A
122396;B
122520;B
122823;B
122902;B
123017;B
123140;B
123147;B
123242;B
123687;B
123887;B
123952;A
123956;A
123957;B
123958;A
123959;B
123962;B
123967;B
124020;B
124410;B
124413;A
124440;B
124872;B
124917;A
124962;B
125035;A
125086;B
125299;A
125358;B
125565;B
125634;A
125692;B
125757;B
126200;B
126313;B
126316;A
126326;B
126335;B
126378;B
126434;B
126653;B
126859;A
127593;B
127676;B
127684;B
127692;B
127763;B
128040;B
128327;B
128391;B
128392;B
128419;B
128436;B
128452;B
128511;B
128839;B
128864;B
128948;B
128955;B
129282;B
129610;B
129744;B
129831;B
129845;B
129999;B
130000;B
130004;B
130009;B
130124;B
130125;B
130131;B
130160;B
130165;B
130436;B
130445;B
130466;B
130557;B
130639;B
130651;B
130652;B
130922;B
130924;B
130925;B
130981;B
131101;B
131146;B
131198;B
131203;B
131206;B
131266;A
131297;B
131372;B
131375;A
131376;B
131379;B
131381;A
131385;B
131390;B
131424;B
131636;B
131680;B
131690;B
131775;B
131776;A
132059;A
132060;B
132061;B
132072;B
132075;B
132275;B
132464;B
132523;B
132524;B
132525;B
132527;B
132530;B
132535;B
132540;A
132541;B
132542;A
132543;B
132546;B
132548;B
132559;B
132786;A
132804;B
132808;B
132823;B
132912;A
132984;B
133021;B
133022;B
133145;B
133313;B
133331;B
133337;B
133499;B
133608;B
133610;B
133612;A
133614;A
133640;B
133653;B
133678;A
133736;B
133962;B
133966;B
134133;B
134566;A
134568;B
134574;B
135337;B
135403;B
135405;A
135568;B
135632;A
135794;B
135839;A
135848;A
136091;A
136382;B
136531;A
136533;B
137075;A
137322;B
137354;B
137355;B
137363;B
137377;A
137398;A
137412;B
137487;B
137629;B
137630;B
137729;B
137799;B
137969;B
138250;B
138255;B
138393;B
139211;B
139309;B
139510;B
139552;B
139674;A
140536;B
141047;B
141461;B
142362;A
144635;A
144875;B
145147;B
145819;B
147725;A
148244;B
148659;B
148664;B
149046;B
149048;A
150098;A
150911;B
151193;B
151467;B
152929;B
153396;B
154126;A
154441;B
154454;A
154697;A
154881;B
155071;B
155105;B
155175;B
155418;B
155432;B
155498;A
155502;B
155589;B
155737;B
155930;B
155977;B
156218;B
156228;B
156229;B
156289;B
156442;B
156448;B
156450;A
156455;A
156456;B
156566;B
156567;B
156614;B
156963;B
156986;B
156996;B
157292;B
157392;B
157904;B
157921;B
158184;B
158395;B
158400;B
158404;B
158410;B
158427;B
158432;B
158452;B
158813;B
159764;B
159896;B
159925;B
160002;B
160252;B
160631;B
160702;B
160867;B
160940;B
161084;B
161093;B
161574;B
161671;A
161695;B
162149;B
162153;B
162162;B
162322;B
162365;B
162888;B
162889;B
162950;A
162956;B
163465;B
163568;A
163816;B
164008;A
164020;B
164054;B
164057;B
164090;B
164555;B
164943;A
164959;B
165260;B
165435;B
165667;A
165674;B
165865;B
165880;B
166131;B
166184;B
166241;B
166496;B
166861;B
167059;B
167120;A
167122;B
167598;B
167666;B
167810;B
167956;B
167980;B
168042;B
168222;B
168443;B
168446;A
168570;B
168574;B
168576;B
168595;B
168631;B
168634;A
168827;B
168898;A
168899;B
169062;B
169063;B
169066;A
169067;B
169211;A
169346;B
169579;B
169587;B
169624;A
169648;B
169911;A
169934;A
169949;B
169957;B
169979;B
169984;A
170206;B
170231;A
170262;B
170323;B
170325;B
170397;A
170633;B
170639;B
170648;B
170728;B
170854;A
170863;B
170938;A
170939;A
170960;B
170965;A
170968;B
170972;B
171000;B
171004;B
171012;B
171019;B
171031;B
171115;B
171128;A
171129;B
171135;B
171160;B
171165;B
171173;A
171209;B
171212;B
171225;B
171256;A
171311;B
171340;B
171351;B
171396;A
171450;A
171456;B
171659;B
171709;B
171724;B
171725;B
171741;B
171778;B
171780;A
171789;A
171815;B
171829;B
171907;A
171924;B
171960;B
172059;A
172064;A
172079;B
172080;A
172119;B
172127;B
172185;B
172225;B
172227;B
172294;B
172340;B
172358;B
172392;B
172446;B
172450;B
172505;B
172739;B
172868;B
172906;B
172907;B
172912;B
172913;B
172921;B
172924;B
172925;B
172985;A
173056;B
173091;A
173212;B
173254;A
173268;B
173270;B
173278;B
173282;B
173287;A
173288;B
173290;A
173291;A
173293;A
173295;B
173299;B
173303;A
173306;B
173310;B
173311;B
173312;B
173347;B
173348;B
173353;B
173357;A
173393;B
173439;B
173457;B
173460;B
173467;B
173512;B
173533;A
173534;B
173556;B
173558;B
173559;B
173562;A
173564;B
173612;B
173619;B
173634;B
173657;B
173679;B
173691;B
173706;B
173715;B
173735;B
173736;B
173787;B
173840;B
173868;B
173917;B
173923;B
173974;B
173980;B
173989;B
174121;B
174132;B
174137;B
174154;A
174209;B
174224;B
174227;B
174229;B
174247;B
174250;B
174251;B
174253;B
174261;A
174267;B
174269;A
174273;B
174293;B
174318;B
174368;A
174375;B
174389;B
174454;B
174457;B
174462;A
174480;A
174493;B
174495;A
174540;B
174545;B
174548;A
174637;A
174649;B
174651;B
174672;B
174736;B
174766;B
174780;B
174783;B
174820;A
174843;B
174847;B
174890;B
174902;A
174917;B
174944;B
175015;A
175021;B
175024;B
175031;A
175040;B
175056;B
175063;B
175076;B
175098;B
175121;B
175130;B
175154;B
175155;A
175168;A
175209;A
175248;A
175252;A
175254;B
175257;A
175264;B
175487;B
175944;A
175957;B
175965;A
176002;B
176018;B
176402;A
176428;B
176478;B
176487;B
176499;B
176511;B
176512;B
176554;B
176564;B
176742;B
176765;B
176788;B
176793;B
176805;B
176832;A
176849;A
176850;B
177011;A
177124;B
177132;B
177135;B
177147;A
177167;B
177264;B
177309;A
177310;A
177315;B
177322;A
177356;B
177416;B
177428;B
177431;A
177455;B
177460;B
177474;B
177475;A
177496;B
177500;B
177503;B
177565;B
177580;B
177599;A
177615;B
177632;B
177634;A
177635;B
177701;B
177726;B
177731;A
177732;B
177743;B
177744;B
177753;A
177754;B
178008;B
178014;B
178016;B
178020;A
178022;B
178078;A
178148;B
178189;B
178198;B
178208;B
178453;B
178454;B
178463;B
178467;B
178535;A
178541;A
178542;B
178557;B
178612;A
178707;B
178711;B
178712;A
178715;B
178791;A
178793;B
178803;B
178804;B
178809;A
178861;B
178862;B
178886;B
178995;B
178998;B
179091;A
179173;B
179178;B
179190;A
179194;B
179238;B
179392;B
179400;A
179416;B
179568;B
179746;B
179853;B
179861;B
179874;A
180113;A
180116;B
180123;B
180127;B
180157;B
180213;B
180262;B
180448;B
180523;B
180526;B
180545;B
180554;B
180693;B
180757;B
180760;B
180767;B
180783;A
180840;B
180864;B
180883;A
180912;B
180919;A
180958;B
181007;A
181012;B
181039;B
181117;B
181139;A
181246;A
181247;A
181251;B
181254;A
181650;B
181671;B
181726;B
181952;B
181963;A
182098;B
182102;A
182190;B
182236;B
182307;B
182362;A
182607;B
182609;B
182734;B
182744;B
182756;B
182759;B
182798;B
182807;A
182861;B
182870;B
183059;B
183065;A
183067;A
183078;B
183093;A
183098;B
183102;B
183110;B
183118;A
183122;B
183131;A
183134;B
183296;B
183394;B
183396;A
183404;A
183636;B
183676;B
183689;A
183690;A
183709;A
183713;B
183724;B
183725;B
183728;B
183730;B
183734;B
183735;B
183737;A
183741;B
183747;B
183750;B
183763;B
183834;B
183930;B
183948;B
183950;B
183956;B
183960;A
183979;B
183989;B
183992;B
184099;B
184114;B
184116;B
184209;B
184357;B
184461;B
184562;B
184589;B
184633;B
184709;B
184735;B
184817;B
184820;B
184821;A
184826;B
184962;B
185012;B
185100;A
185183;B
185200;B
185285;B
185295;A
185424;B
185429;B
185432;B
185433;B
185436;B
185445;B
185462;B
185486;B
185506;B
185526;B
185554;B
185598;B
185608;A
185612;A
185621;B
185626;B
185639;A
185687;A
185793;A
185869;B
185908;A
185923;B
185964;B
185992;B
186006;B
186022;B
186031;B
186058;A
186112;B
186115;B
186126;B
186137;B
186162;B
186175;A
186189;B
186206;B
186262;B
186370;B
186409;B
186425;B
186435;A
186461;A
186518;B
186519;B
186522;A
186629;B
186646;A
186724;B
186744;B
186751;B
186780;B
186795;B
186801;B
186803;A
186809;A
187013;B
187097;B
187111;B
187118;B
187120;B
187127;B
187135;B
187138;B
187229;A
187247;B
187386;B
187391;B
187392;A
187396;B
187399;B
187409;B
187411;B
187598;B
187641;B
187762;B
187768;B
187806;B
187810;B
187815;B
187824;B
187828;A
187835;B
187850;B
188007;B
188018;B
188044;B
188055;A
188061;B
188157;B
188177;B
188383;B
188414;B
188471;A
188574;B
188601;B
188602;B
188715;A
188794;B
188811;B
188823;B
188848;A
189178;B
189356;B
189358;B
189370;B
189406;B
189463;B
189524;B
189571;B
189577;B
189722;A
189753;B
189893;B
189962;B
190064;B
190066;B
190072;B
190282;B
190290;B
190435;B
190482;B
190617;B
190642;A
190680;B
190691;B
190703;B
190737;B
190867;B
190917;B
190968;B
190986;B
191016;A
191102;B
191290;B
191354;B
191368;B
191489;B
191501;A
191516;B
191547;B
191682;B
191684;B
191686;A
191691;A
191695;B
191697;B
191711;B
191712;A
191887;B
191889;B
191898;B
191904;B
191908;B
191914;B
191925;B
191934;B
191935;A
191944;B
191992;A
192214;A
192451;B
192465;B
192610;A
192773;B
192847;A
192849;A
192851;B
192868;B
192872;B
192958;B
193095;B
193103;B
193212;B
193245;A
193251;B
193266;B
193346;B
193354;B
193369;A
193371;B
193410;B
193445;B
193475;A
193482;B
193497;A
193498;B
193500;B
193501;B
193503;B
193520;A
193565;B
193570;A
193576;B
193579;A
193602;B
193612;B
193675;A
193688;B
193691;B
193697;B
193700;B
193706;B
193714;A
193717;A
193722;B
193745;A
193877;B
193965;A
193968;B
193976;B
193990;B
193998;B
194062;A
194304;B
194317;A
194344;B
194505;B
194530;B
194531;A
194534;B
194535;A
194611;B
194627;B
194663;B
194668;B
194673;B
194779;A
194786;B
194887;B
194891;B
194896;B
194897;B
194901;B
194991;A
194998;B
195011;B
195020;B
195025;B
195033;B
195037;B
195059;B
195085;B
195098;B
195100;B
195112;B
195114;A
195119;B
195133;B
195139;B
195143;B
195258;B
195267;A
195269;B
195287;B
195300;B
195302;B
195320;B
195390;B
195419;B
195430;B
195447;B
195464;B
195578;B
195645;B
195653;B
195659;B
195669;B
195753;B
195759;A
195767;B
195887;B
195889;B
195904;B
195907;A
195938;B
195941;B
195949;B
195987;B
196003;A
196011;B
196019;B
196030;B
196055;B
196079;B
196081;B
196094;B
196095;B
196124;B
196141;B
196339;B
196354;B
196414;A
196536;B
196584;A
196593;B
196647;B
196655;B
196663;B
196674;B
196742;B
197073;B
197126;B
197145;A
197150;B
197152;B
197217;B
197228;A
197239;B
197243;B
197257;B
197308;B
197316;B
197430;A
197436;B
197474;B
197478;B
197498;B
197504;B
197514;B
197535;B
197608;B
197612;B
197627;B
197631;A
197650;B
197783;B
197795;B
197807;B
197846;B
197854;B
197867;B
197915;B
197992;B
197998;B
198035;B
198080;B
198085;B
198090;A
198092;B
198125;B
198127;B
198130;A
198137;A
198139;B
198143;B
198177;B
198188;B
198207;B
198221;B
198230;B
198244;B
198302;A
198340;B
198399;B
198403;B
198432;B
198461;B
198573;B
198592;B
198594;B
198599;B
198611;B
198616;B
198617;B
198619;B
198622;B
198628;A
198642;A
198647;B
198652;B
198660;B
198661;B
198663;B
198666;B
198681;A
198685;A
198736;A
198796;B
198889;B
199011;B
199031;B
199032;B
199033;A
199038;B
199044;A
199056;A
199057;A
199062;B
199083;B
199098;A
199111;A
199113;B
199136;B
199139;B
199169;B
199246;B
199258;B
199276;B
199299;B
199310;B
199312;B
199331;B
199369;B
199376;B
199379;B
199382;B
199630;B
199633;B
199651;B
199656;B
199674;A
199677;B
199684;B
199703;A
199735;A
199748;B
199775;B
199780;B
199782;B
199784;B
199787;A
199806;B
199813;B
199824;B
199826;B
199842;B
199848;A
199864;B
199888;A
199889;B
199904;B
199945;B
199950;A
199960;B
199976;B
199998;B
200103;A
200136;B
200151;B
200171;B
200251;B
200259;A
200290;B
200297;B
200310;A
200358;B
200489;B
200574;B
200590;A
200601;B
200609;B
200804;A
200828;B
200849;B
200888;B
200892;B
200930;A
200939;A
200951;A
200980;B
201058;B
201066;B
201085;B
201180;B
201184;B
201190;B
201212;B
201236;B
201284;B
201287;A
201443;B
201476;B
201621;B
201623;B
201626;A
201650;A
201651;B
201659;B
201690;B
201694;B
201704;B
201706;B
201832;B
201851;B
201910;B
201931;A
202014;A
202019;A
202106;B
202170;B
202258;B
202266;B
202295;B
202309;B
202313;B
202403;B
202523;B
202534;B
202539;B
202540;B
202561;B
202568;B
202592;B
202617;B
202646;A
202649;B
202662;B
202677;B
202778;B
202803;B
202874;A
202888;B
202907;B
202922;B
203039;B
203053;B
203071;A
203076;B
203169;A
203181;A
203185;B
203209;B
203211;B
203218;B
203234;B
203237;A
203241;A
203248;B
203255;B
203260;A
203264;B
203266;A
203269;B
203338;B
203355;B
203395;B
203428;B
203431;B
